3.6231,-1.7542,11.848
3.3366,-1.775,11.255
3.2206,-1.6907,10.825
3.0601,-1.5282,10.398
2.5693,-1.583,9.804
1.9897,-1.8481,9.249
1.4565,-2.0888,8.9804
0.94993,-2.2667,8.7028
0.71776,-2.358,8.3085
0.61163,-2.3028,7.8088
0.64531,-2.2221,7.2114
0.69276,-2.1402,7.0062
0.69949,-2.0477,7.2228
0.79365,-2.1398,7.1349
0.88271,-2.2545,6.9984
0.91175,-2.378,7.4819
0.82374,-2.6131,7.6654
0.7691,-2.832,7.6549
0.56627,-2.8547,7.5581
0.1214,-2.6369,7.3574
-0.44472,-2.4571,7.572
-0.89005,-2.2847,7.0726
-0.98001,-2.0898,6.2467
-1.0858,-2.1124,5.7193
-0.9875,-2.0744,5.3556
-0.66147,-1.9751,5.7286
-0.061821,-1.8786,6.0224
2.5983,-1.8997,7.6543
4.7607,-2.3678,9.7648
2.1629,-3.5045,10.305
-1.2092,-4.5764,10.085
-3.0016,-4.8315,9.0746
-3.3032,-4.5874,8.0458
-2.6257,-4.304,7.966
-1.619,-4.0239,7.828
-0.87553,-3.8693,7.9557
-1.4149,-3.596,7.484
-1.9662,-2.9674,7.1831
-2.0236,-2.6993,7.8494
-2.477,-2.8417,8.3387
-3.0393,-2.6814,8.5975
-3.4487,-2.1681,9.2301
-3.5547,-1.7201,9.8271
-3.427,-1.6761,10.158
-3.7626,-2.0196,10.708
-4.1884,-2.2566,11.469
-4.2024,-2.1292,12.215
-3.8289,-2.0762,13.233
-3.5407,-1.5298,14.018
-3.0454,-0.61328,14.503
-2.8597,-0.27573,14.719
-2.8694,-0.079185,15.009
-2.5788,-0.07215,14.841
-2.2871,-0.63184,14.057
-2.0082,-1.2767,13.465
-1.7853,-2.0043,13.677
-1.6931,-2.0114,14.676
-1.6885,-1.7653,15.291
-1.6895,-1.497,15.912
-1.4184,-0.79545,16.552
-0.73048,-0.090711,16.946
-0.047601,0.18936,16.468
0.75862,-0.335,15.676
1.2959,-1.183,14.829
1.4086,-2.1323,13.609
1.5318,-2.7266,12.598
1.5394,-2.9131,11.8
1.4893,-2.7083,10.783
1.5723,-2.5218,9.6781
1.7346,-2.314,8.7346
1.6544,-2.1058,8.227
1.4425,-2.1358,8.3074
1.0501,-2.1991,8.327
0.30566,-1.9621,7.7916
0.44218,-2.968,5.7647
-0.014969,-3.2717,4.7929
-0.41104,-3.7998,3.9584
-0.54996,-4.0593,3.456
-0.093705,-3.4175,3.1047
0.37482,-3.1614,2.9252
1.1384,-3.2083,2.745
1.8796,-3.3656,2.6248
2.5628,-3.0933,3.3018
2.6166,-2.2139,3.9813
2.4277,-1.6145,3.8563
2.4256,-1.7295,3.475
2.1456,-2.1391,2.8525
1.9144,-2.8056,2.0582
1.6726,-3.4442,2.1048
1.6635,-3.305,3.0471
2.1136,-3.2237,4.1338
2.9409,-3.1334,5.6467
4.0944,-3.3533,6.6576
5.1143,-4.4812,7.488
5.7841,-5.0062,9.1653
6.0856,-4.114,11.917
5.8606,-3.3397,14.545
5.9407,-3.7687,16.482
5.9645,-4.0218,17.733
4.873,-3.1101,18.239
